"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.66553480475382,0.690647482014389,0.838582677165354,0.713774597495528,0.654664484451719,0.757281553398058,0.551388888888889,0.603125,0.647446457990115,0.579425113464448
0.588588588588589,0.37531914893617,0.62002743484225,0.411444141689373,0.449975111996018,0.484458735262594,0.360613810741688,0.400375939849624,0.374269005847953,0.422266800401204
0.486095661846496,0.546913580246914,0.542654028436019,0.507795100222717,0.533024333719583,0.510567296996663,0.548346055979644,0.501714285714286,0.501108647450111,0.535055350553506
0.193632795464457,0.263142263142263,0.437142857142857,0.234275528393175,0.339497041420118,0.245927482921703,0.335017489312087,0.319071791153009,0.24829094886519,0.190102463483758
0.634873323397914,0.461859979101358,0.559509202453988,0.65166908563135,0.566791510611735,0.702229299363057,0.490804597701149,0.533659730722154,0.598639455782313,0.410764872521246
0.634873323397914,0.461859979101358,0.559509202453988,0.482067510548523,0.566791510611735,0.538280329799764,0.332559938128384,0.533659730722154,0.454453441295547,0.410764872521246
0,0.966265060240964,0,0.915032679738562,0,0.968085106382979,0,0,0,0
0.0513698630136986,0.190273037542662,0.0519568151147098,0.0550938019472809,0.739770867430442,0.0545811216247404,0.715736040609137,0.211079274116523,0.181384248210024,0.890557939914163
0.941605839416058,0.980295566502463,0.922916666666667,0.647727272727273,0.891129032258065,0.87,0.920879120879121,0.894849785407725,0.960187353629977,0.899786780383795
0.855579868708972,0.967302452316076,0.891348088531187,0.864097363083164,0.955555555555556,0.915841584158416,0.944444444444444,0.943231441048035,0.598639455782313,0.952380952380952
0.852083333333333,0.989333333333333,0.9026369168357,0.785840707964602,0.975806451612903,0.968085106382979,0.983471074380165,0.984,0.761484098939929,1
