"V1","V2","V3","V4","V5"
0.545454545454545,0.919191919191919,0.808080808080808,0.888888888888889,0.909090909090909
0.95959595959596,0.848484848484849,0.797979797979798,0.696969696969697,0.636363636363636
1,1,1,0.98989898989899,0.94949494949495
1,1,1,1,0.939393939393939
1,1,0.98989898989899,0.98989898989899,0.919191919191919
1,1,1,0.98989898989899,0.929292929292929
0.808080808080808,0,0,0,0
1,1,1,0.383838383838384,0.96969696969697
0.96969696969697,0.94949494949495,0.898989898989899,0.939393939393939,0.888888888888889
0.595959595959596,0.262626262626263,0.181818181818182,0.232323232323232,0.292929292929293
0.585858585858586,0.262626262626263,0.181818181818182,0.232323232323232,0.282828282828283
