"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
0.869179600886918,0.860986547085202,0.922077922077922,0.854389721627409,0.867678958785249,0.821052631578947,0.918981481481482,0.871331828442438,0.854347826086956,0.876430205949657
0.869179600886918,0.988789237668161,0.978354978354978,0.970021413276231,0.980477223427332,0.951578947368421,0.979166666666667,0.961625282167043,0.973913043478261,0.963386727688787
0.968957871396896,0.993273542600897,0.991341991341991,0.97644539614561,0.997830802603037,0.966315789473684,0.997685185185185,0.99097065462754,0.982608695652174,0.995423340961098
0.984478935698448,0.993273542600897,0.993506493506494,0.985010706638116,0.995661605206074,0.985263157894737,0.997685185185185,0.993227990970655,0.98695652173913,0.997711670480549
0.944567627494457,0.991031390134529,0.987012987012987,0.961456102783726,0.984815618221258,0.928421052631579,0.988425925925926,0.984198645598194,0.956521739130435,0.995423340961098
0.944567627494457,0.991031390134529,0.987012987012987,0.978586723768737,0.984815618221258,0.962105263157895,0.99537037037037,0.984198645598194,0.976086956521739,0.995423340961098
0,0.899103139013453,0,0.899357601713062,0,0.766315789473684,0,0,0,0
0.997782705099778,1,1,0.993576017130621,0.980477223427332,0.995789473684211,0.979166666666667,0.997742663656885,0.991304347826087,0.949656750572082
0.858093126385809,0.89237668161435,0.958874458874459,0.97644539614561,0.958785249457701,0.91578947368421,0.969907407407407,0.941309255079007,0.891304347826087,0.965675057208238
0.866962305986696,0.795964125560538,0.958874458874459,0.91220556745182,0.186550976138829,0.778947368421053,0.511574074074074,0.487584650112867,0.956521739130435,0.137299771167048
0.906873614190687,0.831838565022421,0.963203463203463,0.950749464668094,0.262472885032538,0.766315789473684,0.550925925925926,0.55530474040632,0.93695652173913,0.155606407322654
